months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,_c39
158,33,509489,2013-12-21,OH,100/300,1000,1744.64,3000000,432786,MALE,JD,prof-specialty,movies,unmarried,0,0,2015-02-07,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,1491 Francis Ridge,4,3,NO,0,1,NO,36400,3640,7280,25480,Volkswagen,Jetta,1998,N,
338,47,884180,1995-08-19,IL,500/1000,500,1143.46,4000000,601600,MALE,MD,priv-house-serv,polo,other-relative,0,0,2015-02-18,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,Arlington,4826 5th St,4,1,YES,2,1,?,58560,9760,9760,39040,Mercedes,E400,2002,N,
156,31,475588,1996-09-21,IL,100/300,2000,1134.08,0,446895,MALE,PhD,other-service,reading,husband,0,0,2015-02-07,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,5812 Oak St,3,1,?,2,0,?,59000,5900,5900,47200,Ford,Fusion,2013,Y,
415,52,794731,2015-02-22,IN,250/500,1000,973.5,0,468634,MALE,PhD,machine-op-inspct,polo,not-in-family,50400,0,2015-02-02,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,9918 Andromedia Drive,15,2,YES,1,3,YES,51090,7860,7860,35370,Toyota,Highlander,2003,N,
413,55,115399,1991-02-08,IN,100/300,2000,1268.79,0,453148,MALE,MD,priv-house-serv,chess,own-child,0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,?,2,2,?,98160,8180,16360,73620,Dodge,RAM,2011,Y,
64,25,908616,2000-02-18,IL,250/500,1000,954.16,0,473328,MALE,Masters,prof-specialty,video-games,husband,53200,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,?,75600,12600,12600,50400,Toyota,Corolla,2005,N,
103,26,979544,2014-04-21,IL,100/300,500,1354.83,0,475173,MALE,MD,tech-support,sleeping,husband,66300,0,2015-01-18,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Arlington,4721 Cherokee Hwy,14,2,NO,2,2,?,40600,4060,4060,32480,Volkswagen,Passat,2010,N,
235,42,543610,2002-05-26,OH,100/300,500,1253.12,4000000,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,?,87010,7910,15820,63280,Ford,F150,2002,N,
298,49,442677,2008-11-22,OH,250/500,500,1451.01,0,460820,FEMALE,College,other-service,exercise,own-child,47800,0,2015-02-21,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,2005 Texas Hwy,17,1,NO,2,2,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,2012,N,
65,29,476839,1990-08-09,IL,250/500,1000,1726.91,0,456570,MALE,High School,other-service,basketball,own-child,0,0,2015-01-28,Vehicle Theft,?,Trivial Damage,,VA,Hillsdale,4453 Best Ave,14,1,?,0,0,?,7200,720,1440,5040,Audi,A5,1999,N,
